IE_XML_ID;IE_NAME;IE_ID;IP_PROP552
3;Екатеринбург;965;
41302;Санкт-Петербург;41302;
41303;Новосибирск;41303;
41304;Севастополь;41304;
41305;Архангельск;41305;
41306;Астрахань;41306;
41307;Барнаул;41307;
41308;Благовещенск;41308;
41309;Великий Новгород;41309;
41310;Владивосток;41310;
41311;Воронеж;41311;
41312;Грозный;41312;
41313;Евпатория;41313;
41314;Железногорск;41314;
41315;Ижевск;41315;
41316;Казань;41316;
41317;Калуга;41317;
41318;Кемерово;41318;
41319;Киров;41319;
41357;Краснодар;41357;
41358;Магнитогорск;41358;
41359;Мурманск;41359;
41360;Нижний Новгород;41360;
41361;Нижний Тагил;41361;
41362;Новомосковск;41362;
41363;Новый Уренгой;41363;
41364;Ногинск;41364;
41365;Норильск;41365;
41366;Омск;41366;
41367;Орёл;41367;
41368;Оренбург;41368;
41369;Пенза;41369;
41370;Пермь;41370;
41371;Псков;41371;
41372;Ростов-на-Дону;41372;
41373;Рязань;41373;
41374;Самара;41374;
41375;Саратов;41375;
41376;Симферополь;41376;
41377;Смоленск;41377;
41378;Сочи;41378;
41379;Ставрополь;41379;
41380;Сыктывкар;41380;
41381;Тверь;41381;
41382;Тольятти;41382;
41383;Томск;41383;
41384;Тула;41384;
41385;Уфа;41385;
41386;Хабаровск;41386;
41387;Ялта;41387;
41388;Ярославль;41388;
41389;Тюмень;41389;
41390;Иркутск;41390;
41391;Новороссийск;41391;
41392;Красноярск;41392;
41393;Ульяновск;41393;
