IE_XML_ID;IE_NAME;IP_PROP549
3;Екатеринбург;+7 (967) 234 07 71 +7 (968) 998 46 16
41302;Санкт-Петербург;+7 (967) 234 07 71 +7 (968) 998 46 16
41303;Новосибирск;+7 (967) 234 07 71 +7 (968) 998 46 16
41304;Севастополь;+7 (967) 234 07 71 +7 (968) 998 46 16
41305;Архангельск;+7 (967) 234 07 71 +7 (968) 998 46 16
41306;Астрахань;+7 (967) 234 07 71 +7 (968) 998 46 16
41307;Барнаул;+7 (967) 234 07 71 +7 (968) 998 46 16
41308;Благовещенск;+7 (967) 234 07 71 +7 (968) 998 46 16
41309;Великий Новгород;+7 (967) 234 07 71 +7 (968) 998 46 16
41310;Владивосток;+7 (967) 234 07 71 +7 (968) 998 46 16
41311;Воронеж;+7 (967) 234 07 71 +7 (968) 998 46 16
41312;Грозный;+7 (967) 234 07 71 +7 (968) 998 46 16
41313;Евпатория;+7 (967) 234 07 71 +7 (968) 998 46 16
41314;Железногорск;+7 (967) 234 07 71 +7 (968) 998 46 16
41315;Ижевск;+7 (967) 234 07 71 +7 (968) 998 46 16
41316;Казань;+7 (967) 234 07 71 +7 (968) 998 46 16
41317;Калуга;+7 (967) 234 07 71 +7 (968) 998 46 16
41318;Кемерово;+7 (967) 234 07 71 +7 (968) 998 46 16
41319;Киров;+7 (967) 234 07 71 +7 (968) 998 46 16
41357;Краснодар;+7 (967) 234 07 71 +7 (968) 998 46 16
41358;Магнитогорск;+7 (967) 234 07 71 +7 (968) 998 46 16
41359;Мурманск;+7 (967) 234 07 71 +7 (968) 998 46 16
41360;Нижний Новгород;+7 (967) 234 07 71 +7 (968) 998 46 16
41361;Нижний Тагил;+7 (967) 234 07 71 +7 (968) 998 46 16
41362;Новомосковск;+7 (967) 234 07 71 +7 (968) 998 46 16
41363;Новый Уренгой;+7 (967) 234 07 71 +7 (968) 998 46 16
41364;Ногинск;+7 (967) 234 07 71 +7 (968) 998 46 16
41365;Норильск;+7 (967) 234 07 71 +7 (968) 998 46 16
41366;Омск;+7 (967) 234 07 71 +7 (968) 998 46 16
41367;Орёл;+7 (967) 234 07 71 +7 (968) 998 46 16
41368;Оренбург;+7 (967) 234 07 71 +7 (968) 998 46 16
41369;Пенза;+7 (967) 234 07 71 +7 (968) 998 46 16
41370;Пермь;+7 (967) 234 07 71 +7 (968) 998 46 16
41371;Псков;+7 (967) 234 07 71 +7 (968) 998 46 16
41372;Ростов-на-Дону;+7 (967) 234 07 71 +7 (968) 998 46 16
41373;Рязань;+7 (967) 234 07 71 +7 (968) 998 46 16
41374;Самара;+7 (967) 234 07 71 +7 (968) 998 46 16
41375;Саратов;+7 (967) 234 07 71 +7 (968) 998 46 16
41376;Симферополь;+7 (967) 234 07 71 +7 (968) 998 46 16
41377;Смоленск;+7 (967) 234 07 71 +7 (968) 998 46 16
41378;Сочи;+7 (967) 234 07 71 +7 (968) 998 46 16
41379;Ставрополь;+7 (967) 234 07 71 +7 (968) 998 46 16
41380;Сыктывкар;+7 (967) 234 07 71 +7 (968) 998 46 16
41381;Тверь;+7 (967) 234 07 71 +7 (968) 998 46 16
41382;Тольятти;+7 (967) 234 07 71 +7 (968) 998 46 16
41383;Томск;+7 (967) 234 07 71 +7 (968) 998 46 16
41384;Тула;+7 (967) 234 07 71 +7 (968) 998 46 16
41385;Уфа;+7 (967) 234 07 71 +7 (968) 998 46 16
41386;Хабаровск;+7 (967) 234 07 71 +7 (968) 998 46 16
41387;Ялта;+7 (967) 234 07 71 +7 (968) 998 46 16
41388;Ярославль;+7 (967) 234 07 71 +7 (968) 998 46 16
41389;Тюмень;+7 (967) 234 07 71 +7 (968) 998 46 16
41390;Иркутск;+7 (967) 234 07 71 +7 (968) 998 46 16
41391;Новороссийск;+7 (967) 234 07 71 +7 (968) 998 46 16
41392;Красноярск;+7 (967) 234 07 71 +7 (968) 998 46 16
41393;Ульяновск;+7 (967) 234 07 71 +7 (968) 998 46 16
