IE_XML_ID;IE_NAME;IE_ID;IP_PROP546;IP_PROP547;IC_GROUP0;IC_GROUP1;IC_GROUP2
2;Екатеринбург;965;56.834104,60.63546;Екатеринбург;Екатеринбург;;
41302;Санкт-Петербург;41302;60.001617,30.266781;Санкт-Петербург;Санкт-Петербург;;
41303;Новосибирск;41303;55.050091,82.941259;Новосибирск;Новосибирск;;
41304;Севастополь;41304;44.574979,33.440056;Севастополь;Севастополь;;
41305;Архангельск;41305;64.534281,40.526084;Архангельск;Архангельск;;
41306;Астрахань;41306;46.371248,48.048818;Астрахань;Астрахань;;
41307;Барнаул;41307;53.329434,83.693583;Барнаул;Барнаул;;
41308;Благовещенск;41308;50.258729,127.518352;Благовещенск;Благовещенск;;
41309;Великий Новгород;41309;58.539101,31.303633;Великий Новгород;Великий Новгород;;
41310;Владивосток;41310;43.129354,131.918819;Владивосток;Владивосток;;
41311;Воронеж;41311;51.706477,39.176821;Воронеж;Воронеж;;
41312;Грозный;41312;43.322137,45.676179;Грозный;Грозный;;
41313;Евпатория;41313;45.190635,33.344412;Евпатория;Евпатория;;
41314;Железногорск;41314;52.348478,35.34752;Железногорск;Железногорск;;
41315;Ижевск;41315;56.871384,53.22554;Ижевск;Ижевск;;
41316;Казань;41316;55.767753,49.186862;Казань;Казань;;
41317;Калуга;41317;54.576869,36.25536;Калуга;Калуга;;
41318;Кемерово;41318;55.349466,86.137701;Кемерово;Кемерово;;
41319;Киров;41319;58.508116,49.702399;Киров;Киров;;
41357;Краснодар;41357;45.024208,38.958452;Краснодар;Краснодар;;
41358;Магнитогорск;41358;53.35964,58.975807;Магнитогорск;Магнитогорск;;
41359;Мурманск;41359;69.002526,33.098271;Мурманск;Мурманск;;
41360;Нижний Новгород;41360;56.285628,44.068915;Нижний Новгород;Нижний Новгород;;
41361;Нижний Тагил;41361;57.873622,59.958682;Нижний Тагил;Нижний Тагил;;
41362;Новомосковск;41362;54.032538,38.261314;Новомосковск;Новомосковск;;
41363;Новый Уренгой;41363;66.098236,76.674758;Новый Уренгой;Новый Уренгой;;
41364;Ногинск;41364;55.877809,38.46189;Ногинск;Ногинск;;
41365;Норильск;41365;69.358077,88.199451;Норильск;Норильск;;
41366;Омск;41366;54.963001,73.389313;Омск;Омск;;
41367;Орёл;41367;52.947501,36.032285;Орёл;Орёл;;
41368;Оренбург;41368;51.771732,55.131729;Оренбург;Оренбург;;
41369;Пенза;41369;53.221082,44.891708;Пенза;Пенза;;
41370;Пермь;41370;57.958577,56.127775;Пермь;Пермь;;
41371;Псков;41371;57.817567,28.315776;Псков;Псков;;
41372;Ростов-на-Дону;41372;47.232765,39.612206;Ростов-на-Дону;Ростов-на-Дону;;
41373;Рязань;41373;54.640133,39.655472;Рязань;Рязань;;
41374;Самара;41374;53.192093,50.188782;Самара;Самара;;
41375;Саратов;41375;51.562149,46.028382;Саратов;Саратов;;
41376;Симферополь;41376;44.96343,34.122749;Симферополь;Симферополь;;
41377;Смоленск;41377;54.811741,32.02381;Смоленск;Смоленск;;
41378;Сочи;41378;43.636703,39.751533;Сочи;Сочи;;
41379;Ставрополь;41379;45.037563,41.974013;Ставрополь;Ставрополь;;
41380;Сыктывкар;41380;61.667319,50.790702;Сыктывкар;Сыктывкар;;
41381;Тверь;41381;56.850421,35.940105;Тверь;Тверь;;
41382;Тольятти;41382;53.534188,49.325796;Тольятти;Тольятти;;
41383;Томск;41383;56.503513,84.953334;Томск;Томск;;
41384;Тула;41384;54.155815,37.583293;Тула;Тула;;
41385;Уфа;41385;54.784121,56.075842;Уфа;Уфа;;
41386;Хабаровск;41386;48.367705,135.039823;Хабаровск;Хабаровск;;
41387;Ялта;41387;44.493762,34.126746;Ялта;Ялта;;
41388;Ярославль;41388;57.698108,39.766506;Ярославль;Ярославль;;
41389;Тюмень;41389;57.177937,65.561241;Тюмень;Тюмень;;
41390;Иркутск;41390;52.229344,104.308528;Иркутск;Иркутск;;
41391;Новороссийск;41391;44.708578,37.782322;Новороссийск;Новороссийск;;
41392;Красноярск;41392;56.039446,92.917117;Красноярск;Красноярск;;
41393;Ульяновск;41393;54.350296,48.352206;Ульяновск;Ульяновск;;
41394;DEXTER;41394;55.893127,37.501205;Москва;Москва;;
41395;Формула-Х;41395;55.576661,37.695604;Москва;Москва;;
